road_show_id,比赛名称,小组,排名,组内排名,路演顺序,项目名称,项目类别,得分,project_id,school_id
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,1,1,9,垒球冠军计划—青少年垒球运动公益推广的引领者,社会服务,89.60,1472,8
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,2,2,3,铭记你的名字——助力烈士“回家”新标杆,社会服务,88.63,1529,33
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,3,3,8,智润九曲——借数智慧脑破千库调度难题，引一河清流润泽沿黄万家,社会服务,87.49,1467,11
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,4,4,1,救·在身边,社会服务,86.44,1533,144
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,5,5,4,无毒有偶——青少年禁毒公益新生态构建者,社会服务,86.27,1532,110
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,6,6,7,智育星火—AI赋能新时代青少年国防教育,社会服务,86.07,1473,4
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,7,7,10,法润电商--法律服务赋能农村电商助力乡村振兴,社会服务,85.19,1470,11
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,8,8,11,铁军薪火：海外新四军抗战档案抢救整理与红色基因传承新范式,文化创意服务,84.73,1476,2
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,9,9,6,有爱无碍，赋能残疾人共享社会发展成果,社会服务,83.21,1534,148
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,10,10,5,铁脉薪传—铁道兵精神传承专列,文化创意服务,82.61,1531,130
150,“建行杯”江苏大学生创新大赛（2026）,红旅公益1组,11,11,2,“骑”心协力“救”在身边——快递外卖从业者急救素养提升公益行动,社会服务,80.30,1536,141
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,1,1,8,沧海补蛎—海岸带保护修复先锋,社会服务,89.97,1455,11
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,2,2,11,青联世界,社会服务,89.71,1465,1
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,3,3,9,牡丹春动育新声——古老昆曲的青春故事：让昆曲“曲高不和寡”,文化创意服务,89.31,1460,3
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,4,4,5,扣响未来——传承中国女排精神新力量 创领大众排球运动新生态,社会服务,87.73,1474,23
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,5,5,1,归途明灯——涉罪青少年矫正与成长引航,社会服务,86.51,1458,9
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,6,6,4,永远的丰碑——隐蔽战线英烈档案挖掘、保护与传播,社会服务,85.94,1456,5
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,7,7,7,工脉铸魂——红色工业文化“三阶”育人推动者,社会服务,85.34,1463,15
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,8,8,10,逐光而行——以京东“阳光天使”为起点的新业态下助残就业新路径,社会服务,83.41,1464,75
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,9,9,3,人间重晚晴——守护生命最后一公里的“尊严”,社会服务,83.16,1475,31
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,10,10,2,橙光智愿——全国首个铁路志愿全周期赋能学堂,社会服务,82.01,1535,130
151,“建行杯”江苏大学生创新大赛（2026）,红旅公益2组,11,11,6,青春π先锋公益——关爱留守儿童，让心不再孤单,社会服务,80.84,1528,113
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,1,1,6,沙漠里的家——为三百万戈壁牧民 焕新北疆生态牧居,社会服务,89.03,1489,1
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,2,2,4,光合零碳——全蒸镀钙钛矿光伏补光一体化智慧农业温室,现代农业,88.17,1488,8
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,3,3,9,帧相——AI焕新历史影像，赓续精神血脉,文化创意服务,88.03,1508,5
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,4,4,11,稻富万家——农机农艺赋能再生稻振兴计划，提质增产助农增收,现代农业,86.80,1480,14
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,5,5,8,乡村鸿雁——合成生物学引领赤霉素GA4国际领先践行农业强国,现代农业,85.63,1478,23
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,6,6,7,育优莓，兴万农——以创新有机肥助力蓝莓产业富农兴农,现代农业,85.23,1502,18
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,7,7,5,出漆智胜——高效智能割漆机器人 助力漆农减负与漆产业发展,现代农业,85.03,1506,13
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,8,8,10,稻香菇事——轮作兴农乡村振兴力行者,现代农业,84.13,1482,25
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,9,9,1,红途戎耀——退役大学生国防教育赋能计划,文化创意服务,83.09,1537,130
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,10,10,3,忆海拾贝 钿启新航——非遗螺钿的幻彩新生,文化创意服务,82.53,1540,110
152,“建行杯”江苏大学生创新大赛（2026）,红旅创意1组,11,11,2,光净清源——有机毒害污水激光空化降解缔造者,社会服务,82.23,1544,87
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,1,1,10,科锐智气——特种气体精密测控装置破局者,新工科类,89.56,1208,8
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,2,2,12,智启凌空——集群智能决策模型虚实迁移技术开拓者,人工智能+,88.97,1223,4
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,3,3,4,肾利者——尿液驱动肾癌“早筛-精准递送”一体化解决方案,新医科类,87.44,1176,19
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,4,4,6,见微知著——超分辨电化学发光显微成像模块,新工科类,87.39,1306,36
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,5,5,1,肠有灵硒——结直肠癌放疗增敏与放射损伤保护一体化治疗推动者,新医科类,86.17,1202,20
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,6,6,5,智焊无界——大型船舶超厚板智能焊接装备领航者,新工科类,85.87,1232,6
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,7,7,7,碳寻新剂—国内首创菌渣基药肥一体化肥料添加剂,新农科类,85.44,1293,18
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,8,8,9,鉴布如飞—新一代柔性全景自增强织造检测高效随诊师,人工智能+,84.51,1180,32
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,9,9,13,观鱼评水——鱼类智能监测与水体生态健康评价系统,新农科类,83.91,1229,31
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,10,10,2,慧眼鉴晶-晶圆异常针痕及表面缺陷检测领航者,人工智能+,83.79,1268,62
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,11,11,3,热控凉方——高集成封装芯片散热用高导热界面材料,新工科类,83.00,1267,42
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,12,12,11,工业智瞳——新时代高水平工业智能装备软件AI测试安全守护者,新工科类,82.44,1162,43
135,“建行杯”江苏大学生创新大赛（2026）,本科生创意2组,13,13,8,创芯速鉴-高标准快检护航果蔬无忧出海,新农科类,81.77,1254,32
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,1,1,7,鳞烯双致——石墨烯/玻璃鳞片协同长效海洋防腐涂层创新者,新工科类,89.09,1182,32
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,2,2,4,见微知竹-打破高端垄断的绿色竹基微晶纤维素,新农科类,88.81,1203,13
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,3,3,8,丹芯——耐药菌快速药敏数字芯片领航者,新医科类,88.00,1242,19
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,4,4,11,光芯智连——新一代AI智算中心光互连集成芯片,新工科类,87.09,1171,15
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,5,5,1,慧谱清源——水环境高光谱智能监测领航者,新工科类,87.07,1238,11
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,6,6,10,“臻”芯无虞——超高保真分子诊断预混液国产领航者,新医科类,86.04,1271,128
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,7,7,9,智声慧检——用于城镇埋地燃气管道的智能声学内检测器,新工科类,84.91,1272,9
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,8,8,5,信安哨兵——地铁插拔式信号设备智能安全预检系统,新工科类,84.77,1308,62
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,9,9,6,藻豆生鲜—新型藻豆复合蛋白基料引领者,新农科类,84.27,1166,36
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,10,10,2,深地之眼—隧洞施工多技术融合智能探测模块践行者,新工科类,83.39,1191,43
136,“建行杯”江苏大学生创新大赛（2026）,本科生创意3组,11,11,3,星驭——面向卫星互联网激光通信的2μm智能化种子源,新工科类,82.17,1163,24
